trial_index subject_id group condition task item_type category image_id distinct_rating distinct_type good_subj
12 1031 2 0 0 0 18 287 2.19 0 1
13 1031 2 0 0 0 29 456 1.5 0 1
14 1031 2 0 0 0 30 466 2.9 0 1
15 1031 2 0 0 0 10 152 1.38 0 1
16 1031 2 0 0 0 29 459 1.82 0 1
17 1031 2 0 0 0 13 207 3.11 0 1
18 1031 2 0 0 0 28 445 7.58 1 1
19 1031 2 0 0 0 2 24 2.31 0 1
20 1031 2 0 0 0 24 382 6.86 1 1
21 1031 2 0 0 0 20 308 2.2 0 1
22 1031 2 0 0 0 20 318 2.58 0 1
23 1031 2 0 0 0 13 206 3.41 0 1
24 1031 2 0 0 0 9 141 3.12 0 1
25 1031 2 0 0 0 7 107 7.11 1 1
26 1031 2 0 0 0 6 86 8.01 1 1
27 1031 2 0 0 0 2 26 2.76 0 1
28 1031 2 0 0 0 15 226 3.2 0 1
29 1031 2 0 0 0 4 50 2.73 0 1
30 1031 2 0 0 0 7 99 7.24 1 1
31 1031 2 0 0 0 15 227 2.67 0 1
32 1031 2 0 0 0 13 202 3.09 0 1
33 1031 2 0 0 0 2 29 2.68 0 1
34 1031 2 0 0 0 25 385 1.43 0 1
35 1031 2 0 0 0 18 279 1.97 0 1
36 1031 2 0 0 0 17 261 2.14 0 1
37 1031 2 0 0 0 15 238 3.31 0 1
38 1031 2 0 0 0 30 467 1.95 0 1
39 1031 2 0 0 0 3 47 3.05 0 1
40 1031 2 0 0 0 29 452 1.8 0 1
41 1031 2 0 0 0 8 125 7.28 1 1
42 1031 2 0 0 0 17 258 2.89 0 1
43 1031 2 0 0 0 23 365 6.57 1 1
44 1031 2 0 0 0 9 142 3.22 0 1
45 1031 2 0 0 0 25 400 1.71 0 1
46 1031 2 0 0 0 28 447 7.79 1 1
47 1031 2 0 0 0 1 3 3.17 0 1
48 1031 2 0 0 0 10 154 2.88 0 1
49 1031 2 0 0 0 25 391 1.73 0 1
50 1031 2 0 0 0 4 62 2.95 0 1
1 1006 1 0 0 0 2 25 1.89 0 1
2 1006 1 0 0 0 1 10 3.15 0 1
3 1006 1 0 0 0 18 277 2.23 0 1
4 1006 1 0 0 0 23 362 7.17 1 1
5 1006 1 0 0 0 13 197 2.97 0 1
6 1006 1 0 0 0 15 230 3.4 0 1
7 1006 1 0 0 0 18 280 2.15 0 1
8 1006 1 0 0 0 29 463 2.0 0 1
9 1006 1 0 0 0 13 198 2.65 0 1
10 1006 1 0 0 0 7 112 7.03 1 1
11 1006 1 0 0 0 9 140 2.97 0 1
12 1006 1 0 0 0 30 472 2.55 0 1
13 1006 1 0 0 0 1 6 3.17 0 1
14 1006 1 0 0 0 30 476 2.48 0 1
15 1006 1 0 0 0 4 59 1.99 0 1
16 1006 1 0 0 0 25 397 1.77 0 1
17 1006 1 0 0 0 17 263 2.59 0 1
18 1006 1 0 0 0 25 398 1.43 0 1
19 1006 1 0 0 0 30 465 2.7 0 1
20 1006 1 0 0 0 10 158 2.59 0 1
21 1006 1 0 0 0 17 266 2.6 0 1
22 1006 1 0 0 0 2 17 1.92 0 1
23 1006 1 0 0 0 1 8 1.95 0 1
24 1006 1 0 0 0 28 433 7.18 1 1
25 1006 1 0 0 0 7 106 7.66 1 1
26 1006 1 0 0 0 29 464 1.93 0 1
27 1006 1 0 0 0 25 396 1.85 0 1
28 1006 1 0 0 0 2 18 1.84 0 1
29 1006 1 0 0 0 13 205 3.26 0 1
30 1006 1 0 0 0 20 319 2.13 0 1
31 1006 1 0 0 0 9 139 1.74 0 1
32 1006 1 0 0 0 17 259 2.5 0 1
