image_id condition group n_subj n_yes item_type distinct_rating distinct_type prop_yes resp_type HS_preds
107 0 2 14 9 1 7.11 1 0.6333333333333333 1 0.7102631074521654
112 0 1 18 13 1 7.03 1 0.7105263157894737 1 0.6787076937610353
112 0 2 14 2 0 7.03 1 0.1666666666666666 0 0.1917646095374534
125 0 1 18 1 0 7.28 1 0.0789473684210526 0 0.1398573058850064
125 0 2 14 6 1 7.28 1 0.4333333333333333 1 0.7133790550561875
129 0 1 18 10 0 3.25 0 0.5526315789473685 0 0.4501327579542269
129 0 2 14 10 1 3.25 0 0.7 1 0.6460188513591207
136 0 1 18 13 1 3.1 0 0.7105263157894737 1 0.6793928441607969
136 0 2 14 4 0 3.1 0 0.3 0 0.3486053703724218
139 0 1 18 10 1 1.74 0 0.5526315789473685 1 0.6931649932986836
139 0 2 14 8 0 1.74 0 0.5666666666666667 0 0.4712202823612747
140 0 1 18 9 1 2.97 0 0.5 1 0.6823900164717938
140 0 2 14 1 0 2.97 0 0.1 0 0.3986562608381512
141 0 1 18 9 0 3.12 0 0.5 0 0.3569390828647253
141 0 2 14 10 1 3.12 0 0.7 1 0.6769231777860577
142 0 1 18 12 0 3.22 0 0.6578947368421053 0 0.3611934457399307
142 0 2 14 12 1 3.22 0 0.8333333333333334 1 0.6781969649507077
149 0 1 18 10 0 3.02 0 0.5526315789473685 0 0.5214175130070079
149 0 2 14 7 1 3.02 0 0.5 1 0.6950130534020941
152 0 1 18 11 0 1.38 0 0.6052631578947368 0 0.5901792723210515
152 0 2 14 7 1 1.38 0 0.5 1 0.671131078280707
154 0 1 18 11 0 2.88 0 0.6052631578947368 0 0.4798763057027657
154 0 2 14 11 1 2.88 0 0.7666666666666667 1 0.6573110635652305
155 0 1 18 16 1 1.73 0 0.868421052631579 1 0.7678560160027992
155 0 2 14 11 0 1.73 0 0.7666666666666667 0 0.6189156788731526
158 0 1 18 10 1 2.59 0 0.5526315789473685 1 0.6747854424421363
158 0 2 14 4 0 2.59 0 0.3 0 0.4207506915472775
160 0 1 18 14 1 2.19 0 0.7631578947368421 1 0.7217563026428577
160 0 2 14 6 0 2.19 0 0.4333333333333333 0 0.479877446522355
197 0 1 18 14 1 2.97 0 0.7631578947368421 1 0.6496080135899202
197 0 2 14 11 0 2.97 0 0.7666666666666667 0 0.4470374132637719
198 0 1 18 13 1 2.65 0 0.7105263157894737 1 0.6809793069481038
198 0 2 14 5 0 2.65 0 0.3666666666666666 0 0.4481892475536862
202 0 1 18 16 0 3.09 0 0.868421052631579 0 0.4682956512734154
202 0 2 14 9 1 3.09 0 0.6333333333333333 1 0.6825705506877026
205 0 1 18 13 1 3.26 0 0.7105263157894737 1 0.6313165543810187
205 0 2 14 6 0 3.26 0 0.4333333333333333 0 0.468770520938296
206 0 1 18 14 0 3.41 0 0.7631578947368421 0 0.4252444491844522
206 0 2 14 12 1 3.41 0 0.8333333333333334 1 0.6741545631167881
207 0 1 18 8 0 3.11 0 0.4473684210526316 0 0.4072647957495579
207 0 2 14 12 1 3.11 0 0.8333333333333334 1 0.6517995898346
226 0 1 18 7 0 3.2 0 0.3947368421052631 0 0.4906855181889898
226 0 2 14 13 1 3.2 0 0.9 1 0.6554958126774745
227 0 1 18 5 0 2.67 0 0.2894736842105263 0 0.4273392462710215
227 0 2 14 12 1 2.67 0 0.8333333333333334 1 0.6384451506479861
228 0 1 18 12 1 3.15 0 0.6578947368421053 1 0.6593485815233991
228 0 2 14 10 0 3.15 0 0.7 0 0.4595959906912489
230 0 1 18 7 1 3.4 0 0.3947368421052631 1 0.671454469330418
230 0 2 14 9 0 3.4 0 0.6333333333333333 0 0.4501568045152003
238 0 1 18 10 0 3.31 0 0.5526315789473685 0 0.6029632652307617
238 0 2 14 10 1 3.31 0 0.7 1 0.6978274504235065
240 0 1 18 16 1 2.57 0 0.868421052631579 1 0.7590833019394054
240 0 2 14 11 0 2.57 0 0.7666666666666667 0 0.6181944904805959
258 0 1 18 9 0 2.89 0 0.5 0 0.6792581774079428
