trial_index,subject_id,group,task,item_type,category_name,category,broad_category,image_png,image_id,distinct_rating,good_subj
56,87372,Group1,memory_phase,,Phyllite,17,M,M_Phyllite_06.png,262,3.03,True
58,87372,Group1,memory_phase,,Rock Gypsum,27,S,S_Rock Gypsum_01.png,417,3.97,True
60,87372,Group1,memory_phase,,Basalt,2,I,I_Basalt_15.png,31,4.03,True
62,87372,Group1,memory_phase,,Chert,23,S,S_Chert_12.png,364,4.06,True
64,87372,Group1,memory_phase,,Slate,20,M,M_Slate_10.png,314,1.94,True
66,87372,Group1,memory_phase,,Quartzite,18,M,M_Quartzite_08.png,280,2.15,True
68,87372,Group1,memory_phase,,Amphibolite,11,M,M_Amphibolite_04.png,164,2.89,True
70,87372,Group1,memory_phase,,Anthracite,12,M,M_Anthracite_12.png,188,5.69,True
72,87372,Group1,memory_phase,,Migmatite,16,M,M_Migmatite_03.png,243,3.7,True
74,87372,Group1,memory_phase,,Bituminous Coal,21,S,S_Bituminous Coal_10.png,330,3.47,True
76,87372,Group1,memory_phase,,Diorite,3,I,I_Diorite_15.png,47,3.05,True
78,87372,Group1,memory_phase,,Andesite,1,I,I_Andesite_02.png,2,3.93,True
80,87372,Group1,memory_phase,,Pumice,9,I,I_Pumice_09.png,137,5.5,True
82,87372,Group1,memory_phase,,Gabbro,4,I,I_Gabbro_09.png,57,3.48,True
84,87372,Group1,memory_phase,,Schist,19,M,M_Schist_13.png,301,3.37,True
86,87372,Group1,memory_phase,,Peridotite,8,I,I_Peridotite_10.png,122,4.64,True
88,87372,Group1,memory_phase,,Conglomerate,24,S,S_Conglomerate_16.png,384,6.38,True
90,87372,Group1,memory_phase,,Chert,23,S,S_Chert_10.png,362,7.17,True
92,87372,Group1,memory_phase,,Rock Salt,28,S,S_Rock Salt_12.png,444,5.86,True
94,87372,Group1,memory_phase,,Gneiss,13,M,M_Gneiss_02.png,194,3.75,True
96,87372,Group1,memory_phase,,Shale,30,S,S_Shale_10.png,474,1.91,True
98,87372,Group1,memory_phase,,Pumice,9,I,I_Pumice_03.png,131,3.41,True
100,87372,Group1,memory_phase,,Andesite,1,I,I_Andesite_11.png,11,3.35,True
103,87372,Group1,memory_phase,,Slate,20,M,M_Slate_06.png,310,2.86,True
105,87372,Group1,memory_phase,,Hornfels,14,M,M_Hornfels_12.png,220,2.62,True
107,87372,Group1,memory_phase,,Quartzite,18,M,M_Quartzite_06.png,278,3.63,True
109,87372,Group1,memory_phase,,Gabbro,4,I,I_Gabbro_12.png,60,2.6,True
111,87372,Group1,memory_phase,,Rhyolite,10,I,I_Rhyolite_16.png,160,2.19,True
113,87372,Group1,memory_phase,,Peridotite,8,I,I_Peridotite_11.png,123,3.59,True
115,87372,Group1,memory_phase,,Anthracite,12,M,M_Anthracite_15.png,191,4.62,True
117,87372,Group1,memory_phase,,Andesite,1,I,I_Andesite_07.png,7,4.81,True
119,87372,Group1,memory_phase,,Slate,20,M,M_Slate_07.png,311,3.48,True
121,87372,Group1,memory_phase,,Shale,30,S,S_Shale_12.png,476,2.48,True
123,87372,Group1,memory_phase,,Shale,30,S,S_Shale_11.png,475,4.05,True
125,87372,Group1,memory_phase,,Sandstone,29,S,S_Sandstone_02.png,450,2.09,True
127,87372,Group1,memory_phase,,Pegmatite,7,I,I_Pegmatite_10.png,106,7.66,True
129,87372,Group1,memory_phase,,Chert,23,S,S_Chert_09.png,361,4.92,True
131,87372,Group1,memory_phase,,Marble,15,M,M_Marble_15.png,239,6.35,True
133,87372,Group1,memory_phase,,Rock Salt,28,S,S_Rock Salt_09.png,441,7.08,True
135,87372,Group1,memory_phase,,Micrite,26,S,S_Micrite_07.png,407,1.85,True
137,87372,Group1,memory_phase,,Sandstone,29,S,S_Sandstone_09.png,457,3.66,True
139,87372,Group1,memory_phase,,Dolomite,25,S,S_Dolomite_11.png,395,5.56,True
141,87372,Group1,memory_phase,,Gneiss,13,M,M_Gneiss_01.png,193,4.54,True
143,87372,Group1,memory_phase,,Breccia,22,S,S_Breccia_08.png,344,7.14,True
145,87372,Group1,memory_phase,,Gneiss,13,M,M_Gneiss_15.png,207,3.11,True
147,87372,Group1,memory_phase,,Obsidian,6,I,I_Obsidian_04.png,84,5.67,True
149,87372,Group1,memory_phase,,Dolomite,25,S,S_Dolomite_07.png,391,1.73,True
151,87372,Group1,memory_phase,,Micrite,26,S,S_Micrite_01.png,401,2.94,True
153,87372,Group1,memory_phase,,Pumice,9,I,I_Pumice_15.png,143,4.18,True
155,87372,Group1,memory_phase,,Conglomerate,24,S,S_Conglomerate_10.png,378,5.63,True
157,87372,Group1,memory_phase,,Chert,23,S,S_Chert_16.png,368,5.43,True
159,87372,Group1,memory_phase,,Pumice,9,I,I_Pumice_13.png,141,3.12,True
161,87372,Group1,memory_phase,,Pegmatite,7,I,I_Pegmatite_09.png,105,6.37,True
163,87372,Group1,memory_phase,,Marble,15,M,M_Marble_02.png,226,3.2,True
165,87372,Group1,memory_phase,,Rock Salt,28,S,S_Rock Salt_11.png,443,4.9,True
167,87372,Group1,memory_phase,,Conglomerate,24,S,S_Conglomerate_03.png,371,4.73,True
169,87372,Group1,memory_phase,,Rock Gypsum,27,S,S_Rock Gypsum_04.png,420,7.61,True
171,87372,Group1,memory_phase,,Breccia,22,S,S_Breccia_07.png,343,6.19,True
173,87372,Group1,memory_phase,,Breccia,22,S,S_Breccia_15.png,351,5.43,True
175,87372,Group1,memory_phase,,Rock Salt,28,S,S_Rock Salt_15.png,447,7.79,True
177,87372,Group1,memory_phase,,Phyllite,17,M,M_Phyllite_01.png,257,5.54,True
179,87372,Group1,memory_phase,,Schist,19,M,M_Schist_08.png,296,6.46,True
181,87372,Group1,memory_phase,,Hornfels,14,M,M_Hornfels_04.png,212,2.22,True
183,87372,Group1,memory_phase,,Andesite,1,I,I_Andesite_06.png,6,3.17,True
185,87372,Group1,memory_phase,,Granite,5,I,I_Granite_11.png,75,4.03,True
187,87372,Group1,memory_phase,,Rock Gypsum,27,S,S_Rock Gypsum_13.png,429,4.94,True
189,87372,Group1,memory_phase,,Phyllite,17,M,M_Phyllite_12.png,268,3.83,True
191,87372,Group1,memory_phase,,Sandstone,29,S,S_Sandstone_05.png,453,5.42,True
193,87372,Group1,memory_phase,,Diorite,3,I,I_Diorite_13.png,45,4.58,True
195,87372,Group1,memory_phase,,Bituminous Coal,21,S,S_Bituminous Coal_13.png,333,5.06,True
197,87372,Group1,memory_phase,,Pegmatite,7,I,I_Pegmatite_16.png,112,7.03,True
200,87372,Group1,memory_phase,,Dolomite,25,S,S_Dolomite_09.png,393,2.11,True
202,87372,Group1,memory_phase,,Marble,15,M,M_Marble_13.png,237,3.8,True
204,87372,Group1,memory_phase,,Bituminous Coal,21,S,S_Bituminous Coal_14.png,334,4.51,True
206,87372,Group1,memory_phase,,Rhyolite,10,I,I_Rhyolite_12.png,156,3.68,True
208,87372,Group1,memory_phase,,Conglomerate,24,S,S_Conglomerate_07.png,375,6.97,True
210,87372,Group1,memory_phase,,Slate,20,M,M_Slate_16.png,320,2.55,True
212,87372,Group1,memory_phase,,Granite,5,I,I_Granite_09.png,73,5.38,True
214,87372,Group1,memory_phase,,Anthracite,12,M,M_Anthracite_13.png,189,4.81,True
216,87372,Group1,memory_phase,,Obsidian,6,I,I_Obsidian_02.png,82,6.06,True
218,87372,Group1,memory_phase,,Gabbro,4,I,I_Gabbro_04.png,52,4.1,True
220,87372,Group1,memory_phase,,Quartzite,18,M,M_Quartzite_01.png,273,2.3,True
222,87372,Group1,memory_phase,,Rock Gypsum,27,S,S_Rock Gypsum_09.png,425,6.03,True
224,87372,Group1,memory_phase,,Pegmatite,7,I,I_Pegmatite_12.png,108,5.15,True
226,87372,Group1,memory_phase,,Migmatite,16,M,M_Migmatite_04.png,244,5.07,True
228,87372,Group1,memory_phase,,Granite,5,I,I_Granite_10.png,74,4.34,True
230,87372,Group1,memory_phase,,Amphibolite,11,M,M_Amphibolite_08.png,168,4.89,True
232,87372,Group1,memory_phase,,Gneiss,13,M,M_Gneiss_03.png,195,3.63,True
234,87372,Group1,memory_phase,,Bituminous Coal,21,S,S_Bituminous Coal_08.png,328,3.92,True
236,87372,Group1,memory_phase,,Rhyolite,10,I,I_Rhyolite_05.png,149,3.02,True
238,87372,Group1,memory_phase,,Basalt,2,I,I_Basalt_01.png,17,1.92,True
240,87372,Group1,memory_phase,,Peridotite,8,I,I_Peridotite_09.png,121,5.71,True
242,87372,Group1,memory_phase,,Micrite,26,S,S_Micrite_03.png,403,4.0,True
