image_id condition group n_subj n_yes item_type distinct_rating distinct_type prop_yes resp_type HS_preds
284 0 2 61 32 1 1.92 0 0.5241935483870968 1 0.6627252444170971
284 1 1 50 20 0 1.92 0 0.4019607843137255 0 0.4707248408452818
284 1 2 56 36 1 1.92 0 0.6403508771929824 1 0.6627252444170971
285 0 1 65 43 1 2.27 0 0.6590909090909091 1 0.6831738953510881
285 0 2 61 28 0 2.27 0 0.4596774193548387 0 0.5505677751954341
285 1 1 50 38 1 2.27 0 0.7549019607843137 1 0.6831738953510881
285 1 2 56 28 0 2.27 0 0.5 0 0.5505677751954341
287 0 1 65 41 0 2.19 0 0.6287878787878788 0 0.5377427194198028
287 0 2 61 33 1 2.19 0 0.5403225806451613 1 0.6475534344509944
287 1 1 50 25 0 2.19 0 0.5 0 0.5377427194198028
287 1 2 56 41 1 2.19 0 0.7280701754385965 1 0.6475534344509944
307 0 1 65 54 1 1.87 0 0.8257575757575758 1 0.7342395187447459
307 0 2 61 42 0 1.87 0 0.6854838709677419 0 0.6455439488717652
307 1 1 50 41 1 1.87 0 0.8137254901960784 1 0.7342395187447459
307 1 2 56 35 0 1.87 0 0.6228070175438597 0 0.6455439488717652
308 0 1 65 56 0 2.2 0 0.8560606060606061 0 0.6248490248871408
308 0 2 61 45 1 2.2 0 0.7338709677419355 1 0.7308066125597619
308 1 1 50 36 0 2.2 0 0.7156862745098039 0 0.6248490248871408
308 1 2 56 42 1 2.2 0 0.7456140350877193 1 0.7308066125597619
314 0 1 65 44 0 1.94 0 0.6742424242424242 0 0.6620555075847226
314 0 2 61 49 1 1.94 0 0.7983870967741935 1 0.7371655859000061
314 1 1 50 31 0 1.94 0 0.6176470588235294 0 0.6620555075847226
314 1 2 56 46 1 1.94 0 0.8157894736842105 1 0.7371655859000061
315 0 1 65 40 1 2.75 0 0.6136363636363636 1 0.6779579235963364
315 0 2 61 29 0 2.75 0 0.4758064516129032 0 0.5683615459755837
315 1 1 50 33 1 2.75 0 0.6568627450980392 1 0.6779579235963364
315 1 2 56 28 0 2.75 0 0.5 0 0.5683615459755837
318 0 1 65 48 0 2.58 0 0.7348484848484849 0 0.6134025901930665
318 0 2 61 46 1 2.58 0 0.75 1 0.7241814830920724
318 1 1 50 38 0 2.58 0 0.7549019607843137 0 0.6134025901930665
318 1 2 56 44 1 2.58 0 0.7807017543859649 1 0.7241814830920724
319 0 1 65 55 1 2.13 0 0.8409090909090909 1 0.7081840992162295
319 0 2 61 46 0 2.13 0 0.75 0 0.6575281328963558
319 1 1 50 41 1 2.13 0 0.8137254901960784 1 0.7081840992162295
319 1 2 56 39 0 2.13 0 0.6929824561403509 0 0.6575281328963558
347 0 1 65 41 1 6.7 1 0.6287878787878788 1 0.7383324933754205
347 0 2 61 5 0 6.7 1 0.0887096774193548 0 0.1161847539315236
347 1 1 50 39 1 6.7 1 0.7745098039215687 1 0.7383324933754205
347 1 2 56 16 0 6.7 1 0.2894736842105263 0 0.1161847539315236
362 0 1 65 44 1 7.17 1 0.6742424242424242 1 0.7600610300255204
362 0 2 61 4 0 7.17 1 0.0725806451612903 0 0.1682487683224081
362 1 1 50 43 1 7.17 1 0.8529411764705882 1 0.7600610300255204
362 1 2 56 5 0 7.17 1 0.0964912280701754 0 0.1682487683224081
365 0 1 65 8 0 6.57 1 0.1287878787878787 0 0.0970423800863413
365 0 2 61 39 1 6.57 1 0.6370967741935484 1 0.6938241708009837
365 1 1 50 1 0 6.57 1 0.0294117647058823 0 0.0970423800863413
365 1 2 56 46 1 6.57 1 0.8157894736842105 1 0.6938241708009837
373 0 1 65 60 1 7.32 1 0.9166666666666666 1 0.7638736894531448
373 0 2 61 11 0 7.32 1 0.1854838709677419 0 0.1746908213633972
373 1 1 50 48 1 7.32 1 0.9509803921568628 1 0.7638736894531448
