trial_index subject_id group condition task item_type category image_id distinct_rating distinct_type good_subj
133 155 2 1 0 0 25 391 1.73 0 1
134 155 2 1 0 0 23 365 6.57 1 1
135 155 2 1 0 0 17 258 2.89 0 1
136 155 2 1 0 0 25 385 1.43 0 1
137 155 2 1 0 0 20 314 1.94 0 1
138 155 2 1 0 0 1 4 3.18 0 1
139 155 2 1 0 0 7 107 7.11 1 1
140 155 2 1 0 0 7 99 7.24 1 1
141 155 2 1 0 0 15 226 3.2 0 1
142 155 2 1 0 0 1 3 3.17 0 1
143 155 2 1 0 0 2 26 2.76 0 1
144 155 2 1 0 0 30 467 1.95 0 1
145 155 2 1 0 0 29 452 1.8 0 1
146 155 2 1 0 0 1 9 2.49 0 1
147 155 2 1 0 0 10 154 2.88 0 1
148 155 2 1 0 0 3 33 2.97 0 1
149 155 2 1 0 0 9 142 3.22 0 1
150 155 2 1 0 0 18 279 1.97 0 1
1 100 1 0 0 0 4 64 2.52 0 1
2 100 1 0 0 0 15 228 3.15 0 1
3 100 1 0 0 0 25 397 1.77 0 1
4 100 1 0 0 0 18 280 2.15 0 1
5 100 1 0 0 0 18 285 2.27 0 1
6 100 1 0 0 0 17 259 2.5 0 1
7 100 1 0 0 0 15 240 2.57 0 1
8 100 1 0 0 0 29 464 1.93 0 1
9 100 1 0 0 0 17 263 2.59 0 1
10 100 1 0 0 0 25 398 1.43 0 1
11 100 1 0 0 0 9 140 2.97 0 1
12 100 1 0 0 0 1 10 3.15 0 1
13 100 1 0 0 0 9 136 3.1 0 1
14 100 1 0 0 0 23 362 7.17 1 1
15 100 1 0 0 0 29 463 2.0 0 1
16 100 1 0 0 0 13 197 2.97 0 1
17 100 1 0 0 0 9 139 1.74 0 1
18 100 1 0 0 0 27 420 7.61 1 1
19 100 1 0 0 0 1 8 1.95 0 1
20 100 1 0 0 0 10 158 2.59 0 1
21 100 1 0 0 0 20 319 2.13 0 1
22 100 1 0 0 0 15 230 3.4 0 1
23 100 1 0 0 0 3 36 2.98 0 1
24 100 1 0 0 0 30 465 2.7 0 1
25 100 1 0 0 0 20 315 2.75 0 1
26 100 1 0 0 0 13 198 2.65 0 1
27 100 1 0 0 0 25 396 1.85 0 1
28 100 1 0 0 0 18 277 2.23 0 1
29 100 1 0 0 0 7 106 7.66 1 1
30 100 1 0 0 0 3 37 3.08 0 1
31 100 1 0 0 0 3 35 3.14 0 1
32 100 1 0 0 0 28 433 7.18 1 1
33 100 1 0 0 0 30 472 2.55 0 1
34 100 1 0 0 0 4 59 1.99 0 1
35 100 1 0 0 0 7 112 7.03 1 1
36 100 1 0 0 0 30 476 2.48 0 1
37 100 1 0 0 0 13 205 3.26 0 1
38 100 1 0 0 0 10 160 2.19 0 1
39 100 1 0 0 0 20 307 1.87 0 1
40 100 1 0 0 0 4 56 3.02 0 1
41 100 1 0 0 0 2 18 1.84 0 1
42 100 1 0 0 0 2 17 1.92 0 1
43 100 1 0 0 0 22 347 6.7 1 1
44 100 1 0 0 0 2 25 1.89 0 1
45 100 1 0 0 0 29 451 1.86 0 1
46 100 1 0 0 0 6 85 7.32 1 1
47 100 1 0 0 0 1 6 3.17 0 1
48 100 1 0 0 0 24 373 7.32 1 1
49 100 1 0 0 0 17 266 2.6 0 1
50 100 1 0 0 0 10 155 1.73 0 1
1 30 1 0 0 0 30 465 2.7 0 1
2 30 1 0 0 0 29 463 2.0 0 1
3 30 1 0 0 0 13 198 2.65 0 1
4 30 1 0 0 0 18 277 2.23 0 1
5 30 1 0 0 0 15 230 3.4 0 1
6 30 1 0 0 0 6 85 7.32 1 1
7 30 1 0 0 0 20 307 1.87 0 1
8 30 1 0 0 0 10 158 2.59 0 1
9 30 1 0 0 0 20 319 2.13 0 1
10 30 1 0 0 0 29 464 1.93 0 1
11 30 1 0 0 0 4 64 2.52 0 1
12 30 1 0 0 0 7 106 7.66 1 1
13 30 1 0 0 0 28 433 7.18 1 1
14 30 1 0 0 0 13 197 2.97 0 1
15 30 1 0 0 0 1 6 3.17 0 1
16 30 1 0 0 0 9 140 2.97 0 1
17 30 1 0 0 0 15 240 2.57 0 1
18 30 1 0 0 0 20 315 2.75 0 1
19 30 1 0 0 0 9 139 1.74 0 1
20 30 1 0 0 0 13 205 3.26 0 1
